ProductName,ProductStock,ProductBasePrice,ProductSalePrice,ProductCategory,ProductImgURL
G.Skill F4-3600C18D-32GTZR Trident Z RGB 32GB (2x16GB) DDR4-3600MHz CL18 1.35V Black Desktop Memory,In stock with Wootware,"R2,549.00","R2,319.00",Memory,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/t/r/trident-z-rgb-dual-01_1.jpg
Phanteks PH-F140M25_DRGB_PWM_WT01 M25-140 D-RGB 140mm White Case Fan,Stock Coming Soon,449,299,Case Fans,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/m/2/m25_140_drgb_white_11-bzcndths.jpg
Gigabyte GA-B760-AORUS-MASTER-DDR4 B760 Aorus Master DDR4 Intel B760 Raptor Lake LGA 1700 ATX Desktop Motherboard,In stock with Wootware,"R6,199.00","R5,549.00",Motherboards,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/g/a/ga-b760-aorus-master-ddr4_1_.jpg
XFX Radeon RX 6800 XT Speedster MERC 319 RX-68XTALFD9 16GB GDDR6 256-bit PCI-E 4.0 Desktop Graphics Card,In stock with Wootware,"R18,599.00","R12,999.00",GPUs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/x/f/xfx-rx6800xt-speedster-merc319-01.jpg
"AOC 27G2SP 27"" Full HD (1920x1080) 165Hz 4ms IPS AMD FreeSync Premium Desktop Monitor",In stock with Wootware,"R6,999.00","R5,299.00",Monitors,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/2/7/27g2sp7301.jpg
Adata AX4U3000316G16A-SBHT XPG Hunter 16GB (1x16GB) DDR4-3000MHz CL16 1.35V Black Desktop Memory,In stock with Wootware,"R1,043.00","R1,029.00",Memory,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/a/d/adata-ax4u266638g16-sbht-xpg-hunter-8gb-_1x8gb_-ddr4-2666mhz-01_2.jpg
Mushkin MKNSSDVT1TB-D8 Vortex 1TB PCIe 4.0 x4 NVMe M.2 2280 Solid State Drive,In stock with Wootware,"R2,079.00","R1,399.00",SSDs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/v/o/vortex_512gb_mknssdvt512gb_d81-otljpxgs_1.jpg
Cooler Master MCA-U000R-KFVK02 V2.0 PCIe 4.0 Universal Vertical GPU Mounting Kit,In stock with Wootware,"R1,399.00","R1,379.00",Other,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/m/c/mca-u000r-kfvk02_1_2x.jpg
Samsung MZ-V8V1T0BW 980 1TB NVMe M.2 (2280) PCIe 3.0 x4 Solid State Drive,In stock with Wootware,"R2,549.00","R1,999.00",SSDs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung_980_1tb_pcie_3_01.jpg
AMD 100-100000592BOX Ryzen 7 7700 5.30GHz 8-Core Zen 4 Socket AM5 Desktop CPU,In stock with Wootware,"R7,899.00","R6,999.00",CPUs,https://www.wootware.co.za/media/catalog/product/cache/1/image/512x512/9df78eab33525d08d6e5fb8d27136e95/a/m/amd-r7-7000-65w3dpib-01.jpg
